uid,C1,C2,C3,C4,C5,C6,C7,C8,CBD,E1,E2,E3,E4,N1,NE1,NE2,NE3,W1,W2,W3
106739,0,0.25,0,0,0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666666,0,0,0,0,0,0,0.08333333333333333,0,0,0
107013,0.023809523809523808,0.047619047619047616,0,0.09523809523809523,0,0.19047619047619047,0.16666666666666666,0.09523809523809523,0.3333333333333333,0.023809523809523808,0,0,0.023809523809523808,0,0,0,0,0,0,0
107017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107092,0,0,0.6,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
107175,0,0,0,0,0,0.6666666666666666,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
107252,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107282,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107390,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107438,0,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0
107560,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107698,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107788,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108030,0,0.02702702702702703,0.08108108108108109,0,0.1891891891891892,0.1891891891891892,0.02702702702702703,0.08108108108108109,0.2972972972972973,0,0,0,0,0,0,0,0,0.05405405405405406,0.05405405405405406,0
108117,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
108139,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
108147,0.09523809523809523,0,0,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.23809523809523808,0.047619047619047616,0,0,0.14285714285714285,0,0,0.09523809523809523,0,0,0,0,0
108184,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0
108251,0,0,0,0.1111111111111111,0,0.3333333333333333,0,0,0.4444444444444444,0,0,0.1111111111111111,0,0,0,0,0,0,0,0
108271,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
108471,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108684,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
108873,0,0.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109018,0,0,0,0.16666666666666666,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.5,0,0,0
109085,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109103,0,0,0,0.3333333333333333,0.16666666666666666,0,0,0,0.16666666666666666,0,0,0,0,0,0.3333333333333333,0,0,0,0,0
109182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109204,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109249,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
109897,0.18181818181818182,0,0,0,0.09090909090909091,0,0,0,0.09090909090909091,0,0,0,0,0,0.36363636363636365,0,0.2727272727272727,0,0,0
110405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111739,0.14285714285714285,0,0,0,0,0.14285714285714285,0.14285714285714285,0,0.42857142857142855,0,0.14285714285714285,0,0,0,0,0,0,0,0,0
111995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112245,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0
112491,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
112583,0,0,0,0,0.25,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0
113123,0.3333333333333333,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
