uid,Label,total_count
200799,CBD,4
200799,E1,2
200799,E3,3
201200,C6,1
201200,C8,1
201225,C2,1
201225,C6,1
201251,C5,2
201251,C6,1
201251,CBD,2
201272,C4,1
201411,CBD,1
201479,C7,1
201884,E3,1
202036,CBD,1
202142,C2,1
202142,CBD,2
202433,C2,2
202433,C3,4
202584,C5,1
204580,C6,1
204606,C2,1
204643,C6,1
205527,C5,1
205631,C2,2
205631,C5,1
205631,C8,1
205631,E3,1
206175,CBD,1
206199,C6,1
206644,C6,2
206644,CBD,1
208119,C7,1
208119,CBD,1
208191,C1,1
208191,C5,1
208191,CBD,1
208809,C7,2
208809,CBD,1
208809,NE2,1
208809,W1,1
208812,E1,2
208812,E3,3
208812,W2,1
210294,C5,1
210294,C8,1
212095,C2,1
212095,C5,2
212095,C6,4
212095,C8,3
212095,CBD,6
212095,E1,1
212095,E3,2
212095,W2,2
212152,C7,1
212152,C8,1
212152,CBD,1
212152,E3,1
212775,C2,2
212775,C3,1
212775,C5,2
212775,C6,1
212775,CBD,1
213432,C5,2
213432,C8,1
213432,NE2,1
213432,NE3,2
215917,C2,1
215917,C4,2
215917,NE2,1
215917,W1,2
216647,CBD,1
216898,E1,1
216898,E3,1
217009,CBD,1
217242,C5,1
217401,CBD,1
218584,CBD,1
219293,C5,1
219293,C6,2
219602,C6,1
219602,W2,2
219619,C3,1
219643,C6,1
219651,C5,1
219655,C4,1
219655,C6,1
219655,C8,1
219725,C6,1
219725,W1,2
219725,W2,2
219807,C2,1
220037,CBD,1
220471,E4,1
220551,C6,1
220551,CBD,4
220600,C5,1
220725,CBD,1
221359,C5,1
222066,C6,2
222359,E1,2
222359,W2,1
222443,C6,2
222443,CBD,1
223053,C2,1
223053,C5,18
223053,C6,1
223053,CBD,1
223081,NE2,1
223191,C8,1
223260,C1,4
223260,C2,2
223260,C3,2
223260,C4,3
223260,C5,1
223260,C8,1
223260,CBD,6
223260,E3,1
223260,NE1,2
223260,NE2,1
223260,W2,5
223395,C2,2
223395,NE2,1
223395,NE3,2
223631,C3,1
223684,C8,1
224038,C4,1
224067,C1,2
224067,C2,2
224067,C3,3
224067,C5,4
224067,C6,2
224067,C7,2
224067,C8,4
224067,CBD,7
224067,NE1,1
224067,NE2,1
224137,C1,1
224137,C2,1
224137,C4,1
224137,C5,6
224137,C7,1
224137,C8,1
224137,CBD,3
225233,C3,1
225233,C4,4
225233,C5,2
225233,CBD,1
225233,W2,1
227053,CBD,1
227053,E1,1
227574,C6,1
227687,C2,1
227687,C5,1
227762,NE2,1
228118,CBD,1
228118,NE2,1
228241,C3,1
228294,NE1,2
228581,C6,1
228930,C1,1
230703,C5,1
230789,NE1,1
231366,C1,109
231366,C2,84
231366,C3,72
231366,C4,142
231366,C5,90
231366,C6,119
231366,C7,126
231366,C8,133
231366,CBD,230
231366,E1,46
231366,E2,3
231366,E3,46
231366,E4,13
231366,N1,4
231366,NE1,125
231366,NE2,48
